"uuid","genus","specificepithet","longitude","latitude","elevation","temperature","precipitation","landcover","cluster"
"3eb9b98b-8a3d-4433-b88b-2544f3135b09","puma","concolor",-121.890342,37.375508,18,152,500,13,4
"3ecdc6bb-8e59-468c-81dc-4364c8f42f74","lynx","canadensis",-141,63.625,575,-28,240,7,1
"3ed3d520-3351-4187-b834-80b2c99e6c78","lynx","canadensis",-87.96401,49.79556,321,15,748,5,1
"3ed6b714-9025-4829-991d-2081136825e1","puma","concolor",-105.4600536,32.95146251,2151,114,533,1,5
"3ef1229e-6f22-473c-98fc-ca5f3ac2f61e","puma","concolor",-121.528137,45.997343,583,93,949,6,1
"3f01b8d1-548d-4b52-b748-b9da9e47de38","puma","concolor",-125.583333,49.75,231,94,1719,17,4
"3f0358ad-0462-46f1-9473-e08ed3be2daa","puma","concolor",-61.390278,-5.875278,40,258,2318,2,3
"3f15d6da-bd4a-42d1-8ce1-89dedbd2f4d3","lynx","canadensis",-85.2166667,50.0333333,162,16,786,5,1
"3f2d1e95-e6d6-4395-b2b4-cb4f17a382ce","puma","concolor",-119.889133,37.809388,1437,110,893,1,1
"3f36240b-3586-4e33-83ab-da1cfda4b733","lynx","canadensis",-150.17,65.649334,203,-30,258,5,1
"3f363a13-119b-4c2a-a5ba-84695044ffc2","lynx","canadensis",-142.496944,67.00007,264,-46,198,5,1
"3f5569b3-89a4-4f51-b49a-bb322ec52bbb","panthera","onca",-60.75,2.25,109,263,1902,2,2
"3f83c8f3-adf7-4564-b98c-941076330eb6","lynx","canadensis",-112.491518,45.695581,2295,19,401,10,6
"3f847930-fe5b-453a-860c-c5c39da9bfb1","puma","concolor",-117.883333,52.664444,1197,25,302,1,1
"3f8ccc8a-fb9c-463a-aa43-66ec5ec5f8c1","lynx","canadensis",-147.53,63.7,1693,-81,441,16,6
"3f96b3a5-db7b-46d5-8cb8-7b1c2d9d1db4","lynx","canadensis",-144.803056,65.5725,290,-32,249,7,1
"3f9c7242-24da-405f-9b46-284b5d3586f5","panthera","onca",-85,13,151,253,2766,12,3
"3fb55b80-ae44-4c62-9f0f-d2da4283ed1c","puma","concolor",-108.45699,31.84704,1863,150,384,7,6
"3fc06c66-29c5-41fb-bc6f-d630a50d7ef4","lynx","canadensis",-142.9833333333,63.3333333333,499,-19,230,1,1
"3fc166b8-53b9-4663-973c-3effc25c9837","puma","concolor",-111.253004,44.200195,1796,60,550,4,5
"40035f62-deb9-4139-8c0e-9a98faa03159","leopardus","pardalis",-90.970242,16.141339,194,248,3090,2,3
"400c3ef2-3fda-4891-af33-0d66074eddc1","lynx","canadensis",-83.1833333,49.65,238,16,843,5,1
"40181ebf-e5e7-4fc2-a9f9-e30c6479eaff","puma","concolor",-121.399,47.3925,845,74,1744,6,2
"40324ae0-ba41-4ce2-8e85-7860bdfdaf9d","puma","concolor",-113.694195,43.848795,2653,14,259,10,5
"403fbfae-4fc8-4462-a9b1-3f984ef28d46","lynx","canadensis",-144.5680555556,63.7,403,-13,349,7,1
"4061e40b-7b9b-423b-b8c9-643679272bad","puma","concolor",-105.583524,38.41031,1991,79,222,10,6
"4088b280-562b-42dc-b395-e550a3223706","puma","concolor",-81.0078,26.3448,13,232,1343,14,4
"408cab25-eaf3-4079-aeb6-a20b11310e37","leopardus","pardalis",-54.7000008,-2.4333334,45,267,2564,11,3
"40cd7dd6-dd6e-4857-af1b-d5a64919ec47","puma","concolor",-105.2754062,33.40210799,1618,144,364,10,6
"40e6ee65-d63b-47f8-9be2-b0231872ef60","felis","pardalis",-79.2667,-0.4,311,241,2738,7,2
"40edf348-2f18-423a-b25a-5424186b794b","lynx","canadensis",-147.66,64.83,135,-11,314,13,6
"410455ea-f19e-4285-8984-db020a17259a","puma","concolor",-81.6927443,26.4432824,16,232,1338,14,4
"410b8137-68c8-4053-8462-3f14d4bf043c","puma","concolor",-81.081153,25.970433,6,236,1424,10,2
"411163aa-0828-4a34-99ed-619a1efc061b","panthera","onca",-72.7,9.18,43,272,2218,2,3
"4124472c-d9de-4bf0-a49e-5c67fa022ab1","puma","concolor",-69.189128,-12.59331,204,253,2320,2,3
"4144f25f-f638-4f72-8f2e-521b997f8ebc","lynx","canadensis",-148.6833333333,65.3333333333,110,-19,270,5,1
